match_id,type,state,game_name,game_mode_title,league_name,season_name,season_state,season_state_title,match_format_description,subtitle,num_of_players,num_of_rounds,start_date,end_date,completed,active,team1_name,team1_code,team1_players,team1_placement,team1_rank,team1_wins,team1_losses,team1_scores,team1_total_score,team1_stakes_placed,team1_stakes_won,team2_name,team2_code,team2_players,team2_placement,team2_rank,team2_wins,team2_losses,team2_scores,team2_total_score,team2_stakes_placed,team2_stakes_won,winner,winner_code,loser,loser_code,score_summary,stakes_open_at,stakes_close_at,has_staking_challenges,has_live_staking,commentator_name,commentator_twitch,commentator_live,slug,share_url
106888,MatchEvent,completed,Madden NFL,1v1 Regular Teams,Madden,Season 5,regular,S5:WEEK 3,VS,BEST OF 1,1,1,2026-03-19T21:35:00.000Z,2026-03-19T22:23:18.696Z,True,True,Swolosimo,SWO,Swolosimo,1,21,2,9,R1: 32,32.0,3943592,8536691,Boogz,BOO,Boogz,-2,15,5,9,R1: 30,30.0,5732799,16472839,Swolosimo,SWO,Boogz,BOO,32.0 - 30.0,2026-03-18T21:35:00.000Z,2026-03-19T21:35:00.000Z,True,True,Taylor,1v1MeMadden,False,madden-106888,https://1v1.me/GuYrsF0Ev1b
106905,MatchEvent,completed,Madden NFL,1v1 Regular Teams,Madden,Season 5,regular,S5:WEEK 3,VS,BEST OF 1,1,1,2026-03-19T20:50:00.000Z,2026-03-19T21:33:52.444Z,True,True,Soku,SOK,Soku,-2,19,3,10,R1: 29,29.0,5181435,10852098,sYoDrip,DRP,sYoDrip,1,3,8,3,R1: 34,34.0,7862426,22812978,sYoDrip,DRP,Soku,SOK,29.0 - 34.0,2026-03-18T20:50:00.000Z,2026-03-19T20:50:00.000Z,True,True,Taylor,1v1MeMadden,False,madden-106905,https://1v1.me/K8NVlo1Ev1b
106904,MatchEvent,completed,Madden NFL,1v1 Regular Teams,Madden,Season 5,regular,S5:WEEK 3,VS,BEST OF 1,1,1,2026-03-19T20:05:00.000Z,2026-03-19T20:46:33.224Z,True,True,Kiv,KIV,Kiv,-2,18,4,9,R1: 13,13.0,5196181,13421781,Cleff,CTG,Cleff,1,1,11,2,R1: 48,48.0,12572050,34352697,Cleff,CTG,Kiv,KIV,13.0 - 48.0,2026-03-18T20:05:00.000Z,2026-03-19T20:05:00.000Z,True,True,Taylor,1v1MeMadden,False,madden-106904,https://1v1.me/VunZtn1Ev1b
106894,MatchEvent,completed,Madden NFL,1v1 Regular Teams,Madden,Season 5,regular,S5:WEEK 3,VS,BEST OF 1,1,1,2026-03-19T19:20:00.000Z,2026-03-19T20:07:41.843Z,True,True,Umyp,UMY,Umyp,1,19,3,10,R1: 29,29.0,4522168,10283307,freethepenguins,FRE,freethepenguins,-2,12,5,6,R1: 27,27.0,4731035,14619874,Umyp,UMY,freethepenguins,FRE,29.0 - 27.0,2026-03-18T19:20:00.000Z,2026-03-19T19:20:00.000Z,True,True,Taylor,1v1MeMadden,False,madden-106894,https://1v1.me/3A0ZnJ0Ev1b
106834,MatchEvent,completed,Madden NFL,1v1 Regular Teams,Madden,Season 5,regular,S5:WEEK 3,VS,BEST OF 1,1,1,2026-03-19T18:35:00.000Z,2026-03-19T19:33:17.331Z,True,True,Swolosimo,SWO,Swolosimo,-2,21,2,9,R1: 48,48.0,3943592,8536691,Fancy,FAN,Fancy,1,12,5,6,R1: 50,50.0,5436889,15314274,Fancy,FAN,Swolosimo,SWO,48.0 - 50.0,2026-03-18T18:35:00.000Z,2026-03-19T18:35:00.000Z,True,True,Taylor,1v1MeMadden,False,madden-106834,https://1v1.me/oj8dlDXEv1b
106844,MatchEvent,completed,Street Fighter,Street Fighter,Street Fighter,Season 5,regular,S5:WEEK 3,BEST OF 5,BEST OF 5,1,5,2026-03-19T18:15:00.000Z,2026-03-19T18:35:57.523Z,True,True,Kolibri,KOL,Kolibri,-2,9,7,6,R1: 2; R2: 2; R3: 0; R4: 0; R5: 1,5.0,4355907,23900159,Alex_Dotdot,ALX,Alex_Dotdot,1,5,11,11,R1: 1; R2: 1; R3: 2; R4: 2; R5: 2,8.0,9520440,41758300,Alex_Dotdot,ALX,Kolibri,KOL,5.0 - 8.0,2026-03-18T18:15:00.000Z,2026-03-19T18:15:00.000Z,True,True,Kailon,1v1MeSF,False,street-fighter-106844,https://1v1.me/gEW9r2XEv1b
107552,MatchEvent,completed,Street Fighter,Street Fighter,Street Fighter,Season 5,regular,S5:WEEK 3,BEST OF 5,BEST OF 5,1,5,2026-03-19T17:55:00.000Z,2026-03-19T18:16:59.854Z,True,True,Deznere,DEZ,Deznere,-2,10,7,14,R1: 1; R2: 0; R3: 2; R4: 2; R5: 1,6.0,8409682,29060664,Kolibri,KOL,Kolibri,1,9,7,6,R1: 2; R2: 2; R3: 1; R4: 0; R5: 2,7.0,4355907,23900159,Kolibri,KOL,Deznere,DEZ,6.0 - 7.0,2026-03-18T17:55:00.000Z,2026-03-19T17:55:00.000Z,True,True,Kailon,1v1MeSF,False,street-fighter-107552,https://1v1.me/kbrZogkyA1b
107230,MatchEvent,completed,Street Fighter,Street Fighter,Street Fighter,Season 5,regular,S5:WEEK 3,BEST OF 5,BEST OF 5,1,5,2026-03-19T17:35:00.000Z,2026-03-19T17:55:58.513Z,True,True,Deznere,DEZ,Deznere,-2,10,7,14,R1: 1; R2: 2; R3: 2; R4: 0; R5: 0,5.0,8409682,29060664,Thunder,THU,Thunder,1,4,11,12,R1: 2; R3: 1; R2: 1; R4: 2; R5: 2,8.0,10916068,42390222,Thunder,THU,Deznere,DEZ,5.0 - 8.0,2026-03-18T17:35:00.000Z,2026-03-19T17:35:00.000Z,True,True,Kailon,1v1MeSF,False,street-fighter-107230,https://1v1.me/92zCRPsOx1b
106853,MatchEvent,completed,Street Fighter,Street Fighter,Street Fighter,Season 5,regular,S5:WEEK 3,BEST OF 5,BEST OF 5,1,5,2026-03-19T17:15:00.000Z,2026-03-19T17:28:42.128Z,True,True,iDom,DOM,iDom,1,3,11,6,R1: 2; R2: 2; R3: 2,6.0,8200573,35031678,MrMorton,MRM,MrMorton,-2,7,8,21,R1: 0; R2: 1; R3: 0,1.0,9436987,32475891,iDom,DOM,MrMorton,MRM,6.0 - 1.0,2026-03-18T17:15:00.000Z,2026-03-19T17:15:00.000Z,True,True,Kailon,1v1MeSF,False,street-fighter-106853,https://1v1.me/RKLHDOYEv1b
107225,MatchEvent,completed,Street Fighter,Street Fighter,Street Fighter,Season 5,regular,S5:WEEK 3,BEST OF 5,BEST OF 5,1,5,2026-03-19T16:59:00.000Z,2026-03-19T17:16:07.198Z,True,True,Rookie,ROO,Rookie,-2,2,15,17,R1: 1; R2: 0; R3: 0,1.0,12593965,52373183,NuckleDu,NUC,NuckleDu,1,13,2,0,R1: 2; R2: 2; R3: 2,6.0,1300383,6051501,NuckleDu,NUC,Rookie,ROO,1.0 - 6.0,2026-03-18T16:59:00.000Z,2026-03-19T16:59:00.000Z,True,True,Kailon,1v1MeSF,False,street-fighter-107225,https://1v1.me/t1EOCbEMx1b
